TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft of Vehicle,2021,12,21,15,0,27XX W KING EDWARD AVE,Arbutus Ridge,487872.6889,5455061.7329
Theft of Vehicle,2021,2,9,0,0,28XX W 23RD AVE,Arbutus Ridge,487680.4207,5455466.8118
Theft of Vehicle,2021,5,23,20,45,44XX YEW ST,Arbutus Ridge,488742.5044,5454949.2948
Vehicle Collision or Pedestrian Struck (with Fatality),2021,10,30,19,25,W 37TH AVE / YEW ST,Arbutus Ridge,488469.0,5453963.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,8,25,14,28,21XX BLOCK W 41ST AVE,Arbutus Ridge,488637.0,5453547.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,10,14,16,52,26XX BLOCK OLIVER CRES,Arbutus Ridge,488093.0,5455179.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,1,8,10,1,53XX BLOCK WEST BLVD,Arbutus Ridge,488684.0,5453957.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,6,29,6,8,ARBUTUS ST / NANTON AVE,Arbutus Ridge,488850.0,5454999.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,1,3,9,26,ARBUTUS ST / W 16TH AVE,Arbutus Ridge,488875.0,5456069.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,10,5,8,36,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863.0,5455441.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,11,2,15,13,ELM ST / W 39TH AVE,Arbutus Ridge,488052.0,5453766.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,10,23,12,41,LARCH ST / W 33RD AVE,Arbutus Ridge,488172.0,5454399.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,10,26,8,36,TRAFALGAR ST / W 16TH AVE,Arbutus Ridge,487999.0,5456096.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,10,6,15,25,W 16TH AVE / BALACLAVA ST,Arbutus Ridge,487312.0,5456116.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,9,17,0,28,W 33RD AVE / ARBUTUS ST,Arbutus Ridge,488828.0,5454382.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,1,13,18,0,W KING EDWARD AVE / ARBUTUS ST,Arbutus Ridge,488862.0,5455420.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,11,6,17,35,W KING EDWARD AVE / ARBUTUS ST,Arbutus Ridge,488863.0,5455441.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,11,6,19,39,W KING EDWARD AVE / ARBUTUS ST,Arbutus Ridge,488863.0,5455441.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,9,3,9,42,W KING EDWARD AVE / MACDONALD ST,Arbutus Ridge,487783.0,5455060.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,9,19,16,17,W KING EDWARD AVE / MACDONALD ST,Arbutus Ridge,487783.0,5455060.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,9,27,9,41,W KING EDWARD AVE / MACDONALD ST,Arbutus Ridge,487783.0,5455060.0
Vehicle Collision or Pedestrian Struck (with Injury),2021,4,24,17,14,W KING EDWARD AVE / TRAFALGAR ST,Arbutus Ridge,487965.0,5455037.0
